simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,7070,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.14311162736741945, ""food_radius"": 2.4162050247176854, ""food_spawn_min_dist"": 3.871423708525327, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.047878776,0.17733565,54.76248893808162,0.0,18.721508979797363
food-hunt,7071,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1419207086761411, ""food_radius"": 2.153770734897268, ""food_spawn_min_dist"": 1.5720084334509643, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.020571658,0.1800869,37.67913305227438,0.0,18.546515464782715
food-hunt,7072,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.11030077919501796, ""food_radius"": 2.1174193491957674, ""food_spawn_min_dist"": 2.9232297297818874, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.07191002,0.18317296,34.618461402363614,0.0,18.544989585876465
food-hunt,7073,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1123426045757564, ""food_radius"": 2.323718709672572, ""food_spawn_min_dist"": 1.7393564747932688, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.09660519,0.1893345,36.22152467287783,0.0,18.737323999404907
food-hunt,7074,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1517553311950739, ""food_radius"": 2.378074467335274, ""food_spawn_min_dist"": 1.6511336557962544, ""respawn_on_reach"": false}, ""point_n"": 80}",0.0059689544,0.18474627,24.653271213615028,0.0,18.723374843597412
food-hunt,7075,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1067860973676852, ""food_radius"": 2.0582966121315076, ""food_spawn_min_dist"": 3.924156817164191, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.1265013,0.2049077,23.877331107609375,0.0,18.673559188842773
food-hunt,7076,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.11816818324680477, ""food_radius"": 2.056794109616532, ""food_spawn_min_dist"": 3.4716492912307917, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.101950444,0.19543396,24.93625908937089,0.0,18.738128423690796
food-hunt,7077,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1447656707079129, ""food_radius"": 2.198279182116395, ""food_spawn_min_dist"": 2.7341380509617568, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.024440894,0.1880615,29.092111208220008,0.0,18.739837408065796
food-hunt,7078,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.13368876533294508, ""food_radius"": 2.0580077319000396, ""food_spawn_min_dist"": 2.8560539034836285, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.058996685,0.19070967,40.60542090310676,0.0,18.815534114837646
food-hunt,7079,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10620053507469485, ""food_radius"": 2.1433154851490532, ""food_spawn_min_dist"": 2.7276980354523728, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.14769305,0.2078683,21.385843863474186,0.0,19.20345640182495
