simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,2025,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.08019769532563684, ""food_radius"": 2.4687673692129457, ""food_spawn_min_dist"": 5.91042485674868, ""respawn_on_reach"": false}, ""point_n"": 100}",0.0114923855,0.15599856,72.80792386254235,0.0,16.024895429611206
food-hunt,2026,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0635510450634241, ""food_radius"": 2.9875962869795982, ""food_spawn_min_dist"": 5.323653477456473, ""respawn_on_reach"": false}, ""point_n"": 100}",0.026918648,0.16923927,62.1961351979773,0.0,15.869937896728516
food-hunt,2027,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.109075869253801, ""food_radius"": 2.4685188121770563, ""food_spawn_min_dist"": 5.632009850295191, ""respawn_on_reach"": false}, ""point_n"": 100}",-0.038833246,0.1553407,74.20171729312868,0.0,15.79265570640564
food-hunt,2028,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0710651602374534, ""food_radius"": 2.118495319278852, ""food_spawn_min_dist"": 5.945539130362116, ""respawn_on_reach"": false}, ""point_n"": 100}",-0.053249445,0.16648918,67.7921409119738,0.0,16.450775623321533
food-hunt,2029,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.07448914400528667, ""food_radius"": 2.4639164604264625, ""food_spawn_min_dist"": 6.3767385430506005, ""respawn_on_reach"": false}, ""point_n"": 100}",0.02259063,0.16226624,69.30326953063884,0.0,17.041398286819458
food-hunt,2030,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10668333528777704, ""food_radius"": 2.7017282012660244, ""food_spawn_min_dist"": 6.618061307134067, ""respawn_on_reach"": false}, ""point_n"": 100}",0.01598411,0.1626375,74.38723176854766,0.0,16.523755311965942
food-hunt,2031,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10999266626049595, ""food_radius"": 1.578734255086472, ""food_spawn_min_dist"": 5.829789917409803, ""respawn_on_reach"": false}, ""point_n"": 100}",0.01796715,0.15545405,71.6854092714874,0.02,16.1936092376709
food-hunt,2032,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.11215505172116248, ""food_radius"": 1.7326959739548597, ""food_spawn_min_dist"": 7.929858728684638, ""respawn_on_reach"": false}, ""point_n"": 100}",-0.050645668,0.15946566,67.61424117784253,0.0,16.41519784927368
food-hunt,2033,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.05111161069137174, ""food_radius"": 1.7332576769713293, ""food_spawn_min_dist"": 7.058723101220303, ""respawn_on_reach"": false}, ""point_n"": 100}",-0.027171513,0.16264664,81.21783061349927,0.0,16.18671679496765
food-hunt,2034,1000,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.11568022055819831, ""food_radius"": 1.8508054798827671, ""food_spawn_min_dist"": 6.683263040743055, ""respawn_on_reach"": false}, ""point_n"": 100}",0.012591719,0.16561428,72.58948621258638,0.01,16.10396099090576
