simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,137,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.03651299168425237, ""food_radius"": 2.1151426806186864, ""food_spawn_min_dist"": 7.96101886607539}, ""point_n"": 100}",0.048265435,0.1577844,88.69234628984394,0.0,4.759022951126099
food-hunt,138,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.03456893535782096, ""food_radius"": 2.8038840497088686, ""food_spawn_min_dist"": 4.017407348922864}, ""point_n"": 100}",0.028588237,0.15012076,76.34551357330972,0.0,4.672113418579102
food-hunt,139,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.09498759097139259, ""food_radius"": 2.222222062653155, ""food_spawn_min_dist"": 6.332956845769268}, ""point_n"": 100}",0.025758881,0.15196978,73.53050638626283,0.0,4.611595630645752
food-hunt,140,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06393927297206597, ""food_radius"": 1.724970691575971, ""food_spawn_min_dist"": 7.9404846836684495}, ""point_n"": 100}",0.034054603,0.16337775,90.65745880374911,0.0,4.686612606048584
food-hunt,141,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0516505690674358, ""food_radius"": 2.802365697280427, ""food_spawn_min_dist"": 4.1694612291616995}, ""point_n"": 100}",-0.014585369,0.15412292,74.69221880374066,0.0,4.9350810050964355
food-hunt,142,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06173071431257897, ""food_radius"": 1.6928179007665778, ""food_spawn_min_dist"": 5.096793793844894}, ""point_n"": 100}",-0.004893491,0.15596162,82.35627385668442,0.0,4.718261957168579
food-hunt,143,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.05293538042218974, ""food_radius"": 1.814950550915932, ""food_spawn_min_dist"": 4.129018295684968}, ""point_n"": 100}",0.0076110377,0.15542033,77.40666610633657,0.0,4.842414379119873
food-hunt,144,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0701205814239572, ""food_radius"": 2.3066009496378572, ""food_spawn_min_dist"": 7.122680474150316}, ""point_n"": 100}",-0.04707043,0.1514262,71.72001794458691,0.0,4.823480844497681
food-hunt,145,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.0840662015230684, ""food_radius"": 2.039381277615334, ""food_spawn_min_dist"": 6.286313624175284}, ""point_n"": 100}",0.009842843,0.16317193,89.71822439282344,0.0,4.802778482437134
food-hunt,146,300,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.043591967729954564, ""food_radius"": 2.3156534205944266, ""food_spawn_min_dist"": 7.877991047880862}, ""point_n"": 100}",0.017586654,0.1590592,83.65366425449376,0.0,4.710773229598999
