rank,base_seed,steps,n_seeds,mean_energy,std_energy,mean_stability,std_stability,mean_diversity,std_diversity,config
1,1156,2000,8,-0.2649585250765085,0.04598520500234132,0.08915024437010288,0.0027739018042802887,971.6973675043384,85.34955482805094,"{""mu_k"": 4.039716800541697, ""sigma_k"": 0.626705506863671, ""w_k"": 0.03211643732508119, ""c_rep"": 1.151685367194939, ""mu_g"": 0.4009294728555986, ""sigma_g"": 0.21164152229810906, ""dt"": 0.07297812395228323, ""point_n"": 200}"
2,1183,2000,8,0.03273705462925136,0.004068236415045009,0.10220447648316622,0.0020905973992517033,554.1002076560226,7.571891636605911,"{""mu_k"": 4.000576041708354, ""sigma_k"": 1.3724100807944812, ""w_k"": 0.029635982142107165, ""c_rep"": 1.0002526226725101, ""mu_g"": 0.5787361151817246, ""sigma_g"": 0.24493514062906696, ""dt"": 0.13652417918477294, ""point_n"": 200}"
3,1167,2000,8,-0.2805267572402954,0.030838773513060816,0.0921425437554717,0.0035988020793103434,665.2348116570984,38.17190812156349,"{""mu_k"": 3.782604452722732, ""sigma_k"": 1.0511996160502486, ""w_k"": 0.0273363094793087, ""c_rep"": 0.8943493051196917, ""mu_g"": 0.5511352282140206, ""sigma_g"": 0.2434998417693151, ""dt"": 0.14121140230940316, ""point_n"": 200}"
4,1187,2000,8,0.25305826775729656,0.008494928179106593,0.10683678276836872,0.0023875400823258385,456.69474156981113,5.76985657225568,"{""mu_k"": 3.9458262848283803, ""sigma_k"": 1.032244678499801, ""w_k"": 0.030867867491597915, ""c_rep"": 1.434136924857922, ""mu_g"": 0.5210077248935407, ""sigma_g"": 0.18347271106626933, ""dt"": 0.11494393379152844, ""point_n"": 200}"
5,1199,2000,8,-0.4912931099534035,0.005020125439483903,0.10290140565484762,0.0023089386171651887,502.8966739296651,25.386369480396755,"{""mu_k"": 4.384277380542013, ""sigma_k"": 0.6750727947582577, ""w_k"": 0.03509247670888685, ""c_rep"": 0.9051296732868336, ""mu_g"": 0.49229039186385454, ""sigma_g"": 0.23706393806663023, ""dt"": 0.13846716188685892, ""point_n"": 150}"
6,1179,2000,8,0.19194623827934265,0.01381627214095652,0.10231690108776093,0.002390703696845697,565.8404457786723,13.316226609757738,"{""mu_k"": 4.601030498170578, ""sigma_k"": 0.9406841827912971, ""w_k"": 0.029449636295209948, ""c_rep"": 1.1642259015518275, ""mu_g"": 0.4298219051235449, ""sigma_g"": 0.15029483992455495, ""dt"": 0.09571746574836269, ""point_n"": 200}"
7,1205,2000,8,-0.17055893875658512,0.007561781575091489,0.10952696949243546,0.003116378783957399,410.0661465068527,13.963883609880048,"{""mu_k"": 4.361079713115629, ""sigma_k"": 0.734421392343534, ""w_k"": 0.02218568750321325, ""c_rep"": 1.3968593629376564, ""mu_g"": 0.4707099805863556, ""sigma_g"": 0.20753321936600025, ""dt"": 0.09566506770027987, ""point_n"": 200}"
8,1235,2000,8,-0.19955890229903162,0.10641350813505104,0.09752291440963745,0.014923409734151237,717.2597993945686,358.7289676570103,"{""mu_k"": 4.554627665274042, ""sigma_k"": 1.258387702846441, ""w_k"": 0.039694487039460616, ""c_rep"": 1.2117430731897425, ""mu_g"": 0.43794844827644447, ""sigma_g"": 0.23096141824663832, ""dt"": 0.14959944585937834, ""point_n"": 100}"
9,1159,2000,8,0.12575106509029865,0.01985165741843196,0.10604622401297092,0.0015281899230224472,460.64178452799223,5.554641631219314,"{""mu_k"": 4.62608356181139, ""sigma_k"": 1.107057534837923, ""w_k"": 0.03716139245464628, ""c_rep"": 1.2393645654567247, ""mu_g"": 0.7855124382949522, ""sigma_g"": 0.2213144960609592, ""dt"": 0.08753565984355284, ""point_n"": 200}"
10,1203,2000,8,-0.33467712439596653,0.050092894501218094,0.09819633420556784,0.0038726416267269473,640.5564801205335,44.08564909990878,"{""mu_k"": 4.728139228389979, ""sigma_k"": 1.1680432034475468, ""w_k"": 0.037420884640380646, ""c_rep"": 1.1805264362177652, ""mu_g"": 0.5378020356200007, ""sigma_g"": 0.21028749966866964, ""dt"": 0.1426377848268215, ""point_n"": 100}"
