simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,9090,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.12907113509555712, ""food_radius"": 0.8112794330938852, ""food_spawn_min_dist"": 2.7554090650038208, ""respawn_on_reach"": false}, ""point_n"": 64}",0.2522191,0.15537396,60.27140999462367,0.0,11.97244906425476
food-hunt,9091,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10394850122439173, ""food_radius"": 1.179135292932438, ""food_spawn_min_dist"": 2.9486962542048367, ""respawn_on_reach"": false}, ""point_n"": 64}",0.27801517,0.15675658,102.57307049565176,0.0,11.690606355667114
food-hunt,9092,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.13672477491173718, ""food_radius"": 0.970721504206977, ""food_spawn_min_dist"": 1.7941113339362955, ""respawn_on_reach"": false}, ""point_n"": 64}",0.13220452,0.18003409,33.58036686560349,0.046875,11.695731401443481
food-hunt,9093,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.12605555642936528, ""food_radius"": 0.9228792814644299, ""food_spawn_min_dist"": 2.7498876370994445, ""respawn_on_reach"": false}, ""point_n"": 64}",0.13528013,0.15701492,63.616455972480146,0.046875,11.585218906402588
food-hunt,9094,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1034092382029652, ""food_radius"": 1.0369586679660248, ""food_spawn_min_dist"": 1.4551358359188924, ""respawn_on_reach"": false}, ""point_n"": 64}",0.19482572,0.14467831,79.43222366212356,0.0,11.767720222473145
food-hunt,9095,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1437336571707475, ""food_radius"": 1.0974577162451447, ""food_spawn_min_dist"": 2.847556558016821, ""respawn_on_reach"": false}, ""point_n"": 64}",0.16736287,0.1642966,61.93419601454542,0.03125,11.666529655456543
food-hunt,9096,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.14775611084186585, ""food_radius"": 0.6586271339651704, ""food_spawn_min_dist"": 1.3643812862588314, ""respawn_on_reach"": false}, ""point_n"": 64}",0.2887336,0.15112573,92.43941548031695,0.046875,12.399617671966553
food-hunt,9097,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1053461839938686, ""food_radius"": 0.8139833073360911, ""food_spawn_min_dist"": 1.9155263378992657, ""respawn_on_reach"": false}, ""point_n"": 64}",0.20415919,0.16559835,71.18518931400315,0.0,12.04319167137146
food-hunt,9098,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.1129334468424918, ""food_radius"": 0.8167359197006081, ""food_spawn_min_dist"": 1.6421975588117586, ""respawn_on_reach"": false}, ""point_n"": 64}",0.2380833,0.1545505,79.88967611144808,0.046875,12.308645486831665
food-hunt,9099,1800,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.14000314382411275, ""food_radius"": 0.6660059505252078, ""food_spawn_min_dist"": 1.357028961017091, ""respawn_on_reach"": false}, ""point_n"": 64}",0.3840816,0.14534476,158.15119370564528,0.015625,11.961945056915283
