simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
particle-lenia,137,300,"{""mu_k"": 3.1447331485389416, ""sigma_k"": 0.9280760963299661, ""w_k"": 0.03970764149556543, ""c_rep"": 0.9616455789047702, ""mu_g"": 0.539510998159927, ""sigma_g"": 0.22309669413218183, ""dt"": 0.13998386998960388, ""point_n"": 150}",-0.23922218,0.12075516,319.4430049507435,nan,11.136327743530273
particle-lenia,138,300,"{""mu_k"": 3.306138353640205, ""sigma_k"": 0.6066038198122646, ""w_k"": 0.018363575504343983, ""c_rep"": 1.4981218105800496, ""mu_g"": 0.5823457926687955, ""sigma_g"": 0.10636287848011623, ""dt"": 0.14788982597499942, ""point_n"": 100}",0.7502035,0.13405523,128.84389682537437,nan,4.781374931335449
particle-lenia,139,300,"{""mu_k"": 3.232616646401727, ""sigma_k"": 0.6480990960601272, ""w_k"": 0.03166253032379753, ""c_rep"": 1.1370369625714722, ""mu_g"": 0.6332956845769269, ""sigma_g"": 0.21749660253836922, ""dt"": 0.11171764210506421, ""point_n"": 200}",-0.12820232,0.12160719,222.09995539823302,nan,20.03687572479248
particle-lenia,140,300,"{""mu_k"": 3.9761354926103185, ""sigma_k"": 1.1935499667273746, ""w_k"": 0.010080092247475496, ""c_rep"": 1.258473829621515, ""mu_g"": 0.7880131190411246, ""sigma_g"": 0.24650470636864463, ""dt"": 0.11897056588277669, ""point_n"": 64}",0.62695706,0.14988355,121.56196694707789,nan,1.9818274974822998
particle-lenia,141,300,"{""mu_k"": 4.066363918099576, ""sigma_k"": 1.208695424451275, ""w_k"": 0.017612269173040082, ""c_rep"": 1.4130260797368819, ""mu_g"": 0.4203909192150117, ""sigma_g"": 0.11304347288686567, ""dt"": 0.062364524377833776, ""point_n"": 64}",0.015708907,0.1819682,35.017202817834516,nan,2.056816816329956
particle-lenia,142,300,"{""mu_k"": 3.5476786133681673, ""sigma_k"": 0.7398173932022644, ""w_k"": 0.020223371846558626, ""c_rep"": 0.9124675853989758, ""mu_g"": 0.6470629945607069, ""sigma_g"": 0.1675037276126935, ""dt"": 0.06545868191014785, ""point_n"": 100}",0.3906171,0.14769068,125.21791485912782,nan,4.951770544052124
particle-lenia,143,300,"{""mu_k"": 3.486961226251044, ""sigma_k"": 1.2946213013984662, ""w_k"": 0.023176007146183345, ""c_rep"": 1.3570711080855897, ""mu_g"": 0.48220232444628996, ""sigma_g"": 0.23397479797722517, ""dt"": 0.07548375602465526, ""point_n"": 100}",-0.21207981,0.12911013,167.3370899678586,nan,4.926456451416016
particle-lenia,144,300,"{""mu_k"": 3.6263005572959583, ""sigma_k"": 0.8383342365077208, ""w_k"": 0.031170746857698023, ""c_rep"": 1.3457248247187885, ""mu_g"": 0.5654254982780914, ""sigma_g"": 0.18440830339475206, ""dt"": 0.10222155720500298, ""point_n"": 150}",0.044605695,0.11309866,273.6767130040615,nan,11.115442991256714
particle-lenia,145,300,"{""mu_k"": 3.789553809815804, ""sigma_k"": 0.9124031576488756, ""w_k"": 0.03227731494044915, ""c_rep"": 1.0873881545825923, ""mu_g"": 0.6934514385361701, ""sigma_g"": 0.17515736241629715, ""dt"": 0.05722422973517796, ""point_n"": 100}",-0.029087985,0.15307888,121.02010252049634,nan,5.0042243003845215
particle-lenia,146,300,"{""mu_k"": 3.8163535668604442, ""sigma_k"": 0.7776923585026481, ""w_k"": 0.032359222703158906, ""c_rep"": 0.8592825508578276, ""mu_g"": 0.7826314928333512, ""sigma_g"": 0.1464112286657122, ""dt"": 0.12878796883707844, ""point_n"": 100}",-0.04976991,0.1546169,86.98506067726363,nan,4.940217733383179
